iter	RMSE
0	56.62416839
1	54.71995521
2	52.7535651
3	50.89418498
4	49.4184187
5	47.94722518
6	46.47686485
7	44.97460063
8	43.9031875
9	42.75220097
10	41.59432115
11	40.80426244
12	40.09251675
13	39.35090879
14	38.52990139
15	37.94521267
16	37.23827652
17	36.72033402
18	36.16685669
19	35.67029824
20	35.2241659
21	34.68599235
22	34.15824545
23	33.7067501
24	33.35746157
25	33.01897213
26	32.71599186
27	32.48208675
28	32.29603241
29	31.9441344
30	31.77141226
31	31.60672318
32	31.37956616
33	31.12780457
34	31.03644964
35	30.87320387
36	30.59512236
37	30.53509919
38	30.34970489
39	30.22160328
40	30.06021154
41	29.84953985
42	29.62193458
43	29.55178434
44	29.47851683
45	29.3745019
46	29.31457137
47	29.18294723
48	29.13136423
49	29.0538709
50	28.9040859
51	28.87524416
52	28.74491736
53	28.6448031
54	28.4827513
55	28.41368759
56	28.3917342
57	28.38402813
58	28.29958445
59	28.20687786
60	28.19179249
61	28.16566683
62	28.08359918
63	28.05808436
64	28.03521983
65	28.03521912
66	27.98561216
67	27.91606233
68	27.90253079
69	27.81985641
70	27.7542244
71	27.72128861
72	27.63629601
73	27.58114471
74	27.56810826
75	27.50953848
76	27.50094917
77	27.46029781
78	27.45313914
79	27.43723485
80	27.38527175
81	27.37599278
82	27.35404898
83	27.31489863
84	27.2655091
85	27.26331144
86	27.2383521
87	27.20564591
88	27.20507779
89	27.20402594
90	27.1762287
91	27.13170603
92	27.12898308
93	27.10626448
94	27.09703588
95	27.09054122
96	27.04945141
97	27.03014643
98	27.03013906
99	26.98674878
100	26.91928185
101	26.84442464
102	26.84422768
103	26.84329614
104	26.84289579
105	26.83542257
106	26.79647468
107	26.7916033
108	26.78750607
109	26.78244771
110	26.74669349
111	26.72968589
112	26.70298269
113	26.61902278
114	26.61801914
115	26.59989484
116	26.59483848
117	26.58097152
118	26.51077224
119	26.51025566
120	26.50837678
121	26.47822703
122	26.4690879
123	26.44272239
124	26.38848971
125	26.38423094
126	26.38057627
127	26.372504
128	26.35762888
129	26.35607676
130	26.31785774
131	26.31641543
132	26.31330527
133	26.26505862
134	26.26331556
135	26.20812935
136	26.20193078
137	26.18824377
138	26.18773767
139	26.14752364
140	26.12142982
141	26.1213662
142	26.0587301
143	25.99617595
144	25.98951847
145	25.98811238
146	25.97937319
147	25.94036912
148	25.87271522
149	25.8372598
150	25.81645092
151	25.80931379
152	25.79145186
153	25.76801857
154	25.74908764
155	25.74747808
156	25.74079813
157	25.73786462
158	25.71557876
159	25.71112463
160	25.66176647
161	25.63009082
162	25.61829332
163	25.6021065
164	25.58900746
165	25.55771131
166	25.54965783
167	25.53903754
168	25.53451074
169	25.53391315
170	25.51880003
171	25.51840314
172	25.48981705
173	25.45900939
174	25.45512711
175	25.4492465
176	25.39857509
177	25.36318361
178	25.36221794
179	25.34810759
180	25.33964744
181	25.32677615
182	25.30104214
183	25.25698219
184	25.2267552
185	25.22658346
186	25.19598709
187	25.19426743
188	25.1854637
189	25.16666729
190	25.09184199
191	25.067527
192	25.06429614
193	25.05611633
194	25.04653215
195	25.03466471
